dataset_index,relative_path,class_name,frozen_prediction,frozen_confidence,fine_tuned_prediction,fine_tuned_confidence,comparison_category,visible_features,possible_reason_for_confusion,label_ambiguity_or_image_quality,confidence_in_interpretation
17607,eurosat/2750/PermanentCrop/PermanentCrop_2445.jpg,PermanentCrop,AnnualCrop,0.698880934,PermanentCrop,0.9999974,corrected_by_fine_tuning,Large Green patch with clear boundaries,Visually Similar to AnnualCrop,Unclear,Medium 
17570,eurosat/2750/PermanentCrop/PermanentCrop_2411.jpg,PermanentCrop,PermanentCrop,0.526527757,HerbaceousVegetation,0.98300856,new_error_after_fine_tuning,Blurry Pic with no clear colour pattern,Difficult to predict using RGB color scheme,Unclear,Low
23294,eurosat/2750/River/River_363.jpg,River,Highway,0.531072371,River,0.9997125,corrected_by_fine_tuning,River Flowing with a bridge across the river,Might be confussed due to the bridge,Unclear,Medium 
23106,eurosat/2750/River/River_2444.jpg,River,Highway,0.934705389,Highway,0.99965787,both_wrong,River with a road going along,Might have classified road as highway,Clear,High
10259,eurosat/2750/Highway/Highway_2131.jpg,Highway,River,0.946475664,Highway,0.6502081,corrected_by_fine_tuning,Isolated road with green patch all around,Similar to features found around river,Clear,Medium 
11308,eurosat/2750/Highway/Highway_826.jpg,Highway,River,0.672065235,River,0.75706345,both_wrong,Isolated road with green patch all around,Similar to features found around river,Unclear,Medium 
23646,eurosat/2750/River/River_680.jpg,River,Highway,0.711660719,Highway,0.9999999,both_wrong,Small Stream flowing through a forest,The width of river was small and closer to a road than a river ,Clear,High
18309,eurosat/2750/PermanentCrop/PermanentCrop_827.jpg,PermanentCrop,AnnualCrop,0.870848052,AnnualCrop,0.9998229,both_wrong,green land with reasonably well defined boundaries ,The RGB scheme resembles that of AnnualCrop,Clear,Medium 
15370,eurosat/2750/Pasture/Pasture_431.jpg,Pasture,AnnualCrop,0.667234856,AnnualCrop,0.9996922,both_wrong,Green patch with some brown patch in the middle,The defined boundaries between the fields ,Clear,Low
15766,eurosat/2750/Pasture/Pasture_789.jpg,Pasture,Pasture,0.968876143,AnnualCrop,0.99953306,new_error_after_fine_tuning,Lush Green Area with green dominating RBG scheme ,The RGB scheme is skewed towards Green ,Clear,Low
20163,eurosat/2750/Residential/Residential_2496.jpg,Residential,Industrial,0.992051558,Industrial,0.9994642,both_wrong,Too blurry to make out any visible features ,Too blurry to make classification ,Unclear,Low
13018,eurosat/2750/Industrial/Industrial_2365.jpg,Industrial,Residential,0.995550175,Residential,0.9993538,both_wrong,Permanent structure built with ample space between them ,Resembles the pattern of residential class ,Unclear,Medium 
10776,eurosat/2750/Highway/Highway_347.jpg,Highway,Pasture,0.558297866,Highway,1,corrected_by_fine_tuning,Surrounded by large green fields,Green dominates the RGB scheme,Clear,High
10377,eurosat/2750/Highway/Highway_2238.jpg,Highway,River,0.463880537,Highway,1,corrected_by_fine_tuning,Road running through a field with some brown patches,Similar to features found around river,Clear,Low
9548,eurosat/2750/Highway/Highway_1492.jpg,Highway,AnnualCrop,0.554873129,Highway,1,corrected_by_fine_tuning,Road running through a field with some brown patches,Model may have classified the field around the road,Clear,Medium 
21690,eurosat/2750/River/River_117.jpg,River,Pasture,0.722443785,River,0.9999999,corrected_by_fine_tuning,River flowing with green patch on one side and brown on another,The model may have been confused by clear bifurication ,Clear,Low
9276,eurosat/2750/Highway/Highway_1247.jpg,Highway,AnnualCrop,0.614329112,Highway,0.9999999,corrected_by_fine_tuning,Road with activity near farmlands,Model may have classified the field around the road,Clear,Medium 
22699,eurosat/2750/River/River_2078.jpg,River,Forest,0.566666132,River,0.99999976,corrected_by_fine_tuning,River flowing through a dense forest,The model may have classified the dense forest,Clear,Medium 
